inbound_id,purchase_order_id,product_id,quantity_received,received_date
1,1,22,384,2023-01-04 00:00:00
2,2,157,352,2023-01-14 01:00:00
3,3,96,54,2023-01-02 02:00:00
4,4,129,265,2023-01-16 03:00:00
5,5,184,398,2023-01-24 04:00:00
6,6,97,394,2023-01-20 05:00:00
7,7,32,245,2023-01-12 06:00:00
8,8,156,7,2023-02-06 07:00:00
9,9,43,68,2023-01-11 08:00:00
10,10,68,334,2023-01-04 09:00:00
11,11,51,107,2023-01-31 10:00:00
12,12,82,120,2023-01-05 11:00:00
13,13,2,176,2023-02-08 12:00:00
14,14,15,368,2023-01-30 13:00:00
15,15,24,347,2023-01-25 14:00:00
16,16,144,142,2023-01-08 15:00:00
17,17,102,236,2023-02-01 16:00:00
18,18,6,136,2023-01-03 17:00:00
19,19,118,379,2023-01-08 18:00:00
20,20,1,40,2023-01-17 19:00:00
21,21,163,49,2023-02-07 20:00:00
22,22,32,106,2023-01-22 21:00:00
23,23,11,8,2023-01-12 22:00:00
24,24,123,33,2023-01-03 23:00:00
25,25,165,431,2023-01-13 00:00:00
26,26,88,333,2023-01-15 01:00:00
27,27,57,356,2023-01-04 02:00:00
28,28,68,137,2023-01-23 03:00:00
29,29,105,204,2023-01-10 04:00:00
30,30,117,85,2023-02-07 05:00:00
31,31,160,211,2023-02-01 06:00:00
32,32,156,58,2023-01-17 07:00:00
33,33,30,239,2023-01-12 08:00:00
34,34,42,387,2023-01-29 09:00:00
35,35,28,354,2023-01-11 10:00:00
36,36,150,204,2023-01-23 11:00:00
37,37,200,104,2023-02-07 12:00:00
38,38,115,82,2023-01-30 13:00:00
39,39,69,50,2023-01-26 14:00:00
40,40,170,175,2023-01-13 15:00:00
41,41,68,69,2023-01-08 16:00:00
42,42,39,368,2023-02-04 17:00:00
43,43,118,463,2023-01-29 18:00:00
44,44,133,455,2023-01-14 19:00:00
45,45,93,230,2023-01-03 20:00:00
46,46,171,196,2023-01-26 21:00:00
47,47,172,362,2023-01-18 22:00:00
48,48,184,3,2023-01-26 23:00:00
49,49,197,180,2023-01-11 00:00:00
50,50,151,349,2023-02-10 01:00:00
51,51,10,54,2023-01-13 02:00:00
52,52,174,202,2023-01-25 03:00:00
53,53,6,270,2023-02-02 04:00:00
54,54,76,58,2023-01-12 05:00:00
55,55,141,480,2023-01-22 06:00:00
56,56,49,345,2023-02-04 07:00:00
57,57,99,57,2023-01-15 08:00:00
58,58,37,197,2023-01-21 09:00:00
59,59,40,348,2023-01-22 10:00:00
60,60,164,179,2023-01-16 11:00:00
61,61,33,402,2023-01-07 12:00:00
62,62,121,280,2023-01-13 13:00:00
63,63,52,313,2023-01-10 14:00:00
64,64,16,324,2023-01-08 15:00:00
65,65,135,185,2023-01-22 16:00:00
66,66,52,414,2023-01-27 17:00:00
67,67,194,0,2023-01-06 18:00:00
68,68,184,403,2023-01-18 19:00:00
69,69,184,141,2023-02-06 20:00:00
70,70,69,139,2023-01-28 21:00:00
71,71,167,335,2023-01-25 22:00:00
72,72,108,167,2023-01-14 23:00:00
73,73,19,158,2023-02-07 00:00:00
74,74,133,258,2023-01-30 01:00:00
75,75,148,180,2023-01-10 02:00:00
76,76,13,133,2023-01-21 03:00:00
77,77,170,154,2023-01-29 04:00:00
78,78,13,223,2023-02-06 05:00:00
79,79,148,176,2023-01-30 06:00:00
80,80,159,46,2023-02-02 07:00:00
81,81,163,269,2023-01-05 08:00:00
82,82,57,346,2023-02-05 09:00:00
83,83,70,431,2023-01-29 10:00:00
84,84,133,133,2023-01-06 11:00:00
85,85,67,139,2023-01-23 12:00:00
86,86,28,170,2023-01-28 13:00:00
87,87,175,151,2023-01-10 14:00:00
88,88,99,480,2023-02-01 15:00:00
89,89,2,158,2023-01-12 16:00:00
90,90,12,1,2023-02-09 17:00:00
91,91,139,393,2023-01-09 18:00:00
92,92,68,326,2023-01-05 19:00:00
93,93,103,136,2023-01-08 20:00:00
94,94,170,312,2023-02-02 21:00:00
95,95,167,281,2023-02-05 22:00:00
96,96,88,437,2023-01-26 23:00:00
97,97,70,382,2023-02-10 00:00:00
98,98,12,64,2023-02-08 01:00:00
99,99,159,428,2023-01-27 02:00:00
100,100,138,341,2023-02-08 03:00:00
