purchase_order_id,product_id,supplier_id,quantity,lead_time_days,purchase_order_date
1,89,24,486,20,2023-01-01 00:00:00
2,110,34,343,34,2023-01-01 01:00:00
3,130,24,29,11,2023-01-01 02:00:00
4,126,26,253,32,2023-01-01 03:00:00
5,166,38,137,13,2023-01-01 04:00:00
6,199,27,266,7,2023-01-01 05:00:00
7,40,9,408,38,2023-01-01 06:00:00
8,127,42,17,20,2023-01-01 07:00:00
9,78,24,289,27,2023-01-01 08:00:00
10,1,47,30,37,2023-01-01 09:00:00
11,85,12,29,37,2023-01-01 10:00:00
12,95,36,393,1,2023-01-01 11:00:00
13,117,48,18,14,2023-01-01 12:00:00
14,137,44,127,23,2023-01-01 13:00:00
15,51,37,47,20,2023-01-01 14:00:00
16,96,12,66,37,2023-01-01 15:00:00
17,115,48,491,27,2023-01-01 16:00:00
18,182,3,44,33,2023-01-01 17:00:00
19,127,10,313,31,2023-01-01 18:00:00
20,122,27,238,21,2023-01-01 19:00:00
21,86,39,219,28,2023-01-01 20:00:00
22,134,43,177,17,2023-01-01 21:00:00
23,79,32,50,15,2023-01-01 22:00:00
24,40,1,218,33,2023-01-01 23:00:00
25,54,16,387,31,2023-01-02 00:00:00
26,174,20,170,15,2023-01-02 01:00:00
27,34,46,34,28,2023-01-02 02:00:00
28,55,25,185,35,2023-01-02 03:00:00
29,38,36,366,36,2023-01-02 04:00:00
30,125,23,401,13,2023-01-02 05:00:00
31,123,18,206,33,2023-01-02 06:00:00
32,180,7,489,1,2023-01-02 07:00:00
33,104,18,487,19,2023-01-02 08:00:00
34,34,1,142,25,2023-01-02 09:00:00
35,60,46,120,20,2023-01-02 10:00:00
36,82,41,213,5,2023-01-02 11:00:00
37,17,23,21,14,2023-01-02 12:00:00
38,146,23,105,11,2023-01-02 13:00:00
39,169,9,366,36,2023-01-02 14:00:00
40,157,46,16,26,2023-01-02 15:00:00
41,192,4,492,39,2023-01-02 16:00:00
42,15,41,494,19,2023-01-02 17:00:00
43,71,6,109,15,2023-01-02 18:00:00
44,9,47,223,37,2023-01-02 19:00:00
45,21,25,117,6,2023-01-02 20:00:00
46,196,17,112,34,2023-01-02 21:00:00
47,111,4,141,23,2023-01-02 22:00:00
48,199,25,22,21,2023-01-02 23:00:00
49,79,40,169,27,2023-01-03 00:00:00
50,93,23,12,18,2023-01-03 01:00:00
51,25,1,406,38,2023-01-03 02:00:00
