sales_order_id,product_id,quantity_sold,sales_order_date,customer_name,status
1,194,82,2023-04-28,Customer 340,Shipped
2,103,17,2023-11-22,Customer 456,Pending
3,10,67,2023-06-14,Customer 223,Shipped
4,64,91,2023-06-10,Customer 479,Shipped
5,58,36,2023-06-02,Customer 496,Shipped
6,1,96,2023-10-28,Customer 172,Shipped
7,184,64,2023-05-19,Customer 175,Shipped
8,31,63,2023-09-21,Customer 18,Shipped
9,141,10,2023-04-27,Customer 428,Delivered
10,197,95,2023-09-24,Customer 114,Pending
11,165,61,2023-12-11,Customer 338,Pending
12,29,18,2023-10-11,Customer 101,Shipped
13,106,67,2023-01-21,Customer 329,Pending
14,71,74,2023-07-31,Customer 480,Cancelled
15,183,23,2023-09-29,Customer 264,Pending
16,100,15,2023-11-14,Customer 329,Shipped
17,171,82,2023-08-31,Customer 452,Shipped
18,48,84,2023-02-21,Customer 488,Shipped
19,92,67,2023-01-15,Customer 445,Delivered
20,191,93,2023-12-03,Customer 452,Pending
21,32,80,2023-07-18,Customer 29,Delivered
22,80,43,2023-04-09,Customer 421,Shipped
23,57,69,2023-08-29,Customer 477,Cancelled
24,44,45,2023-12-15,Customer 317,Shipped
25,23,40,2023-05-13,Customer 127,Pending
26,20,68,2023-01-15,Customer 265,Cancelled
27,136,14,2023-11-10,Customer 89,Cancelled
28,141,55,2023-04-23,Customer 432,Delivered
29,140,65,2023-09-18,Customer 270,Cancelled
30,62,45,2023-12-04,Customer 363,Cancelled
31,39,55,2023-03-19,Customer 65,Cancelled
32,173,17,2023-04-29,Customer 228,Shipped
33,4,94,2023-03-08,Customer 470,Delivered
34,44,6,2023-08-29,Customer 415,Delivered
35,127,80,2023-12-06,Customer 477,Shipped
36,42,45,2023-02-13,Customer 352,Shipped
37,19,1,2023-01-19,Customer 17,Cancelled
38,61,64,2023-01-29,Customer 496,Pending
39,21,86,2023-09-22,Customer 195,Cancelled
40,92,72,2023-11-24,Customer 410,Cancelled
41,171,29,2023-03-29,Customer 53,Delivered
42,55,94,2023-03-21,Customer 474,Delivered
43,60,69,2023-01-04,Customer 378,Delivered
44,95,30,2023-03-11,Customer 271,Cancelled
45,106,36,2023-08-04,Customer 47,Shipped
46,166,19,2023-04-28,Customer 359,Pending
47,97,60,2023-07-24,Customer 411,Cancelled
48,125,54,2023-02-10,Customer 388,Pending
49,148,38,2023-02-26,Customer 181,Delivered
50,156,5,2023-08-13,Customer 238,Delivered
51,99,33,2023-07-19,Customer 410,Cancelled
52,146,51,2023-01-15,Customer 52,Cancelled
53,162,67,2023-10-09,Customer 98,Delivered
54,42,14,2023-08-01,Customer 91,Cancelled
55,119,76,2023-03-22,Customer 155,Cancelled
56,62,78,2023-07-08,Customer 458,Pending
57,19,86,2023-03-28,Customer 115,Pending
58,76,33,2023-01-29,Customer 95,Pending
59,83,42,2023-12-01,Customer 30,Shipped
60,2,22,2023-05-26,Customer 8,Delivered
61,74,74,2023-03-24,Customer 150,Shipped
62,132,46,2023-08-23,Customer 412,Pending
63,104,20,2023-04-05,Customer 157,Cancelled
64,103,69,2023-09-04,Customer 300,Pending
65,30,42,2023-04-05,Customer 289,Pending
66,78,55,2023-11-13,Customer 225,Shipped
67,184,18,2023-08-21,Customer 146,Cancelled
68,172,17,2023-02-23,Customer 123,Delivered
69,14,94,2023-09-13,Customer 84,Pending
70,98,46,2023-06-17,Customer 238,Shipped
71,117,40,2023-05-01,Customer 89,Cancelled
72,121,85,2023-05-08,Customer 493,Delivered
73,190,65,2023-03-07,Customer 59,Delivered
74,178,64,2023-10-05,Customer 312,Shipped
75,85,84,2023-04-07,Customer 240,Shipped
76,101,4,2023-01-04,Customer 259,Delivered
77,180,91,2023-03-27,Customer 34,Cancelled
78,107,86,2023-07-22,Customer 219,Cancelled
79,182,28,2023-05-07,Customer 141,Delivered
80,103,1,2023-11-24,Customer 214,Pending
81,192,66,2023-09-08,Customer 301,Pending
82,114,69,2023-11-04,Customer 481,Delivered
83,57,86,2023-08-06,Customer 290,Pending
84,38,1,2023-10-07,Customer 140,Shipped
85,179,58,2023-11-21,Customer 138,Pending
86,179,80,2023-05-29,Customer 337,Shipped
87,143,30,2023-03-04,Customer 72,Cancelled
88,195,28,2023-10-29,Customer 404,Delivered
89,148,95,2023-03-28,Customer 357,Cancelled
90,41,87,2023-07-01,Customer 362,Delivered
91,52,13,2023-04-23,Customer 111,Pending
92,157,34,2023-05-04,Customer 186,Shipped
93,139,24,2023-12-18,Customer 110,Cancelled
94,155,40,2023-05-27,Customer 192,Cancelled
95,27,46,2023-05-24,Customer 392,Delivered
96,134,90,2023-03-22,Customer 266,Cancelled
97,122,10,2023-02-09,Customer 446,Shipped
98,120,44,2023-02-13,Customer 235,Delivered
99,35,83,2023-03-29,Customer 60,Pending
100,162,80,2023-01-26,Customer 345,Pending
101,26,78,2023-11-13,Customer 464,Cancelled
102,37,82,2023-06-24,Customer 1,Pending
103,31,44,2023-12-04,Customer 386,Pending
104,6,48,2023-12-29,Customer 155,Shipped
105,200,78,2023-10-19,Customer 354,Shipped
106,146,45,2023-09-05,Customer 375,Pending
107,92,91,2023-11-11,Customer 370,Cancelled
108,47,40,2023-03-02,Customer 286,Shipped
109,175,12,2023-11-20,Customer 170,Shipped
110,17,31,2023-05-03,Customer 230,Delivered
111,176,59,2023-02-01,Customer 300,Cancelled
112,99,34,2023-02-07,Customer 399,Cancelled
113,138,71,2023-09-09,Customer 379,Pending
114,84,23,2023-10-08,Customer 437,Pending
115,33,14,2023-02-20,Customer 413,Delivered
116,96,33,2023-04-16,Customer 49,Pending
117,36,29,2023-10-25,Customer 48,Pending
118,144,81,2023-11-10,Customer 437,Pending
119,157,17,2023-10-22,Customer 486,Delivered
120,37,96,2023-08-29,Customer 451,Pending
121,161,44,2023-07-12,Customer 27,Pending
122,73,99,2023-03-14,Customer 284,Pending
123,33,18,2023-04-10,Customer 224,Cancelled
124,133,38,2023-11-15,Customer 382,Cancelled
125,83,19,2023-12-04,Customer 247,Delivered
126,164,6,2023-02-28,Customer 387,Cancelled
127,190,80,2023-08-22,Customer 142,Pending
128,93,89,2023-10-30,Customer 387,Delivered
129,72,12,2023-05-12,Customer 338,Pending
130,121,32,2023-07-17,Customer 291,Shipped
131,123,77,2023-07-02,Customer 307,Pending
132,195,91,2023-09-11,Customer 99,Delivered
133,122,83,2023-04-26,Customer 94,Shipped
134,130,81,2023-08-14,Customer 498,Cancelled
135,41,97,2023-01-07,Customer 175,Delivered
136,152,80,2023-10-26,Customer 226,Delivered
137,181,49,2023-10-11,Customer 58,Shipped
138,18,56,2023-04-08,Customer 67,Cancelled
139,58,14,2023-11-28,Customer 444,Delivered
140,17,14,2023-01-02,Customer 41,Cancelled
141,51,72,2023-02-26,Customer 122,Shipped
142,171,53,2023-03-19,Customer 201,Delivered
143,12,99,2023-02-22,Customer 481,Delivered
144,2,15,2023-05-18,Customer 395,Cancelled
145,19,93,2023-04-01,Customer 33,Shipped
146,13,9,2023-03-31,Customer 403,Cancelled
147,143,58,2023-03-04,Customer 241,Shipped
148,116,25,2023-09-25,Customer 303,Pending
149,195,95,2023-07-31,Customer 315,Cancelled
150,102,90,2023-06-14,Customer 129,Delivered
151,149,26,2023-01-27,Customer 347,Delivered
152,79,49,2023-02-28,Customer 452,Delivered
153,44,51,2023-04-21,Customer 213,Delivered
154,77,29,2023-11-10,Customer 267,Pending
155,105,88,2023-07-15,Customer 411,Delivered
156,66,77,2023-03-28,Customer 461,Delivered
157,23,60,2023-10-30,Customer 11,Cancelled
158,58,32,2023-04-03,Customer 223,Delivered
159,52,77,2023-07-13,Customer 156,Pending
160,157,35,2023-02-24,Customer 168,Pending
161,188,76,2023-01-11,Customer 243,Pending
162,156,67,2023-11-10,Customer 208,Shipped
163,13,33,2023-09-18,Customer 253,Shipped
164,186,42,2023-01-24,Customer 448,Shipped
165,66,7,2023-07-20,Customer 403,Cancelled
166,18,49,2023-05-12,Customer 470,Pending
167,37,25,2023-11-13,Customer 248,Delivered
168,136,16,2023-04-11,Customer 133,Shipped
169,16,6,2023-01-09,Customer 315,Shipped
170,31,69,2023-04-21,Customer 229,Cancelled
171,2,17,2023-08-16,Customer 212,Delivered
172,90,53,2023-11-27,Customer 220,Shipped
173,30,40,2023-07-29,Customer 324,Cancelled
174,144,18,2023-08-05,Customer 476,Cancelled
175,147,68,2023-02-08,Customer 468,Cancelled
176,144,84,2023-02-22,Customer 153,Shipped
177,130,41,2023-11-09,Customer 350,Pending
178,174,36,2023-04-14,Customer 203,Pending
179,50,11,2023-01-15,Customer 484,Pending
180,118,44,2023-03-06,Customer 432,Delivered
181,20,75,2023-01-02,Customer 493,Cancelled
182,74,54,2023-03-20,Customer 408,Pending
183,198,72,2023-09-30,Customer 22,Delivered
184,123,68,2023-12-03,Customer 400,Delivered
185,72,90,2023-04-11,Customer 220,Delivered
186,130,61,2023-11-28,Customer 177,Cancelled
187,92,81,2023-05-31,Customer 8,Cancelled
188,80,38,2023-04-30,Customer 391,Delivered
189,174,63,2023-04-06,Customer 351,Cancelled
190,138,65,2023-08-17,Customer 483,Shipped
191,127,82,2023-04-22,Customer 148,Shipped
192,105,12,2023-02-15,Customer 215,Shipped
193,13,54,2023-08-13,Customer 159,Pending
194,56,66,2023-05-30,Customer 405,Pending
195,37,69,2023-06-22,Customer 138,Delivered
196,30,71,2023-08-16,Customer 79,Pending
197,176,98,2023-01-31,Customer 19,Pending
198,25,89,2023-10-12,Customer 478,Cancelled
199,189,57,2023-09-19,Customer 290,Pending
200,40,42,2023-07-05,Customer 75,Pending
201,96,97,2023-11-27,Customer 8,Shipped
202,176,18,2023-07-21,Customer 142,Cancelled
203,64,47,2023-01-01,Customer 289,Shipped
204,121,86,2023-12-09,Customer 489,Delivered
205,36,86,2023-05-02,Customer 340,Shipped
206,122,35,2023-11-28,Customer 71,Shipped
207,50,14,2023-05-19,Customer 2,Shipped
208,150,8,2023-03-14,Customer 313,Pending
209,28,18,2023-08-23,Customer 18,Delivered
210,175,6,2023-09-13,Customer 498,Delivered
211,163,28,2023-12-01,Customer 110,Cancelled
212,126,93,2023-03-29,Customer 107,Shipped
213,25,19,2023-03-10,Customer 191,Cancelled
214,124,56,2023-09-29,Customer 380,Delivered
215,104,86,2023-06-07,Customer 163,Delivered
216,23,82,2023-07-14,Customer 294,Pending
217,197,91,2023-02-21,Customer 59,Pending
218,79,47,2023-12-11,Customer 392,Cancelled
219,115,19,2023-12-04,Customer 9,Cancelled
220,102,55,2023-12-04,Customer 176,Cancelled
221,116,7,2023-05-20,Customer 187,Cancelled
222,45,83,2023-05-06,Customer 192,Shipped
223,128,48,2023-10-08,Customer 64,Shipped
224,183,59,2023-04-25,Customer 330,Shipped
225,69,43,2023-11-08,Customer 319,Delivered
226,1,51,2023-12-24,Customer 190,Pending
227,15,20,2023-04-06,Customer 196,Delivered
228,85,21,2023-07-20,Customer 5,Pending
229,166,96,2023-04-15,Customer 228,Cancelled
230,20,95,2023-03-09,Customer 312,Shipped
